Name,Longitude,Latitude
inst0,174.736683,-36.737197
inst1,174.749491,-36.777366
inst2,174.752309,-36.782458
inst3,174.914423,-36.882722
inst4,174.76885,-36.869414
inst5,174.774123,-36.876429
inst6,174.725348,-36.884707
inst7,174.747139,-36.912708
inst8,174.691137,-36.891482
inst9,174.90177,-36.897629
inst10,174.875034,-36.909712
inst11,174.939278,-36.90657
inst12,174.882302,-37.011253
inst13,176.129106,-37.678754
inst14,176.156215,-37.702139
inst15,175.294802,-37.784988
inst16,172.57771,-43.50732
inst17,172.623008,-43.537243
inst18,172.62386,-43.564569
inst19,174.776608,-41.274443
