School Number,School Name,Telephone,Fax,Email^,Principal*,School Website,Street,Suburb,Town / City,Postal Address 1,Postal Address 2,Postal Address 3,Postal Code,Urban Area,School Type,Definition,Authority,Gender of Students,Territorial Authority with Auckland Local Board,Regional Council,Ministry of Education Local Office,Education Region,General Electorate,Maori Electorate,Census Area Unit,Ward,Community of Learning: ID,Community of Learning: Name,Longitude,Latitude,Decile,Total School Roll,European / Pakeha,Maori,Pasifika,Asian,MELAA,Other,International
1,Te Kao School,09 409 7813,,office@tekao.school.nz,Hemi Takawe,http://www.tekuratekao.school.nz,6603 Far North Road,,Te Kao,6603 Far North Road RD 4,,Kaitaia,484,Rural Area,Full Primary,Designated Character School,State,Co-Educational,Far North District,Northland Region,Whangarei,Tai Tokerau,Northland,Te Tai Tokerau,North Cape,Te Hiku Ward,99051,Far North Community of Learning,172.965947,-34.654712,2,40,0,40,0,0,0,0,0
2,Taipa Area School,09 406 0159,09 406 1096,office@taipa.school.nz,Doreen Bailey,http://www.taipa.school.nz,578 State Highway 10,,Taipa,578 State Highway 10,,Taipa,420,Minor Urban Area,Composite,Not Applicable,State,Co-Educational,Far North District,Northland Region,Whangarei,Tai Tokerau,Northland,Te Tai Tokerau,Taipa Bay-Mangonui,Te Hiku Ward,99051,Far North Community of Learning,173.464301,-34.994709,2,324,42,264,13,5,0,0,0
3,Kaitaia College,09 408 0190,09 408 0193,admin@kaitaiacollege.school.nz,Jack Saxon,http://www.schoolground.co.nz/kaitaiacol,53 Redan Road,,Kaitaia,P O Box 265,,Kaitaia,441,Minor Urban Area,Secondary (Year 9-15),Not Applicable,State,Co-Educational,Far North District,Northland Region,Whangarei,Tai Tokerau,Northland,Te Tai Tokerau,Kaitaia West,Te Hiku Ward,99051,Far North Community of Learning,173.2587,-35.121322,2,856,194,636,8,12,1,5,0
4,Whangaroa College,09 405 0199,09 405 0288,office@whc.school.nz,Jack Anderson,http://www.whangaroacollege.school.nz,4157 State Highway 10,,Kaeo,P O Box 126,,Kaeo,448,Rural Area,Secondary (Year 7-15),Not Applicable,State,Co-Educational,Far North District,Northland Region,Whangarei,Tai Tokerau,Northland,Te Tai Tokerau,Kaeo,Bay of Islands-Whangaroa Ward,99197,Whaingaroa Kahui Ako,173.786949,-35.100861,1,90,16,73,1,0,0,0,0
5,Kerikeri High School,09 407 8916,09 407 9323,enquiries@kerikerihigh.ac.nz,Elizabeth Forgie,http://www.kerikerihigh.ac.nz,48 Hone Heke Road,,Kerikeri,P O Box 92,,Kerikeri,245,Minor Urban Area,Secondary (Year 7-15),Not Applicable,State,Co-Educational,Far North District,Northland Region,Whangarei,Tai Tokerau,Northland,Te Tai Tokerau,Kerikeri,Bay of Islands-Whangaroa Ward,,,173.955388,-35.228353,6,1504,932,429,24,53,17,7,42
6,Broadwood Area School,09 409 5878,09 409 5877,maryanne@broadwood.school.nz,Danelle Smith (Acting),http://broadwood.school.nz,1041 Broadwood Road,,Broadwood,P O Box 12,,Broadwood,462,Rural Area,Composite,Not Applicable,State,Co-Educational,Far North District,Northland Region,Whangarei,Tai Tokerau,Northland,Te Tai Tokerau,Hokianga North,Kaikohe-Hokianga Ward,99148,Hokianga Community of Learning,173.39499,-35.261247,1,85,3,79,2,1,0,0,0
7,Okaihau College,09 401 9030,09 401 9793,admin@okaihau-college.school.nz,Alan Forgie,http://www.okaihau-college.school.nz,58 Settlers Way,,Okaihau,58 Settlers Way RD 1,,Okaihau,475,Rural Area,Secondary (Year 7-15),Not Applicable,State,Co-Educational,Far North District,Northland Region,Whangarei,Tai Tokerau,Northland,Te Tai Tokerau,Okaihau,Kaikohe-Hokianga Ward,99060,Te Arahura Community of Learning,173.765763,-35.323759,2,459,133,312,6,6,1,1,0
8,Bay of Islands College,09 404 1055,09 404 1048,drl@boic.school.nz,John Paitai,http://www.boic.school.nz,1-9 Derrick Road,,Kawakawa,P O Box 58,,Kawakawa,243,Minor Urban Area,Secondary (Year 9-15),Not Applicable,State,Co-Educational,Far North District,Northland Region,Whangarei,Tai Tokerau,Northland,Te Tai Tokerau,Kawakawa,Bay of Islands-Whangaroa Ward,99117,Peowhairangi Community of Learning,174.075901,-35.379502,2,343,27,309,4,3,0,0,0
9,Northland College,09 401 3200,09 401 2378,admin@northlandcollege.school.nz,Jim Luders,http://www.northlandcollege.school.nz,62 Mangakahia Road,,Kaikohe,P O Box 261,,Kaikohe,440,Minor Urban Area,Secondary (Year 9-15),Not Applicable,State,Co-Educational,Far North District,Northland Region,Whangarei,Tai Tokerau,Northland,Te Tai Tokerau,Kaikohe,Kaikohe-Hokianga Ward,99060,Te Arahura Community of Learning,173.809917,-35.413888,1,314,5,293,13,2,0,1,0
10,Te Kura Taumata o Panguru,09 409 5701,09 409 5703,office@panguru.school.nz,Mina Pomare-Peita,http://www.panguru.school.nz,2178 West Coast Road,,Panguru,2178 West Coast Road RD 2,,Kohukohu,492,Rural Area,Composite,Not Applicable,State,Co-Educational,Far North District,Northland Region,Whangarei,Tai Tokerau,Northland,Te Tai Tokerau,Hokianga North,Kaikohe-Hokianga Ward,,,173.383067,-35.380527,1,89,0,89,0,0,0,0,0
