X,Y,OBJECTID,STOPID,STOPCODE,STOPNAME,STOPDESC,LOCATIONTYPE,STOPLAT,STOPLON,PARENTSTATION,MODE
174.823969999825124,-36.907626665705926,1748964,1022,1022,108 Penrose Rd,,Stop,-36.90762667,174.82397,31493,School Bus
175.008549999623483,-36.784896943852495,1748965,1085,1085,Opp 54 Mako Street,,Stop,-36.78489694,175.00855,61103,School Bus
175.008466388719256,-36.784949443746797,1748966,1087,1087,54 Mako Street,,Stop,-36.78494944,175.00846639,61103,School Bus
174.850255555416794,-36.921619165864598,1748967,1308,1308,112 Carbine Rd,,Stop,-36.92161917,174.85025556,31527,School Bus
174.77119555600251,-36.919539999346505,1748968,1314,1314,Onehunga High Bus Bay,,Stop,-36.91954,174.77119556,11583,School Bus
174.773503055465511,-36.916467221030835,1748969,1316,1316,Royal Oak Intermediate,,Stop,-36.91646722,174.77350306,11579,School Bus
174.839759166115726,-36.953969443621816,1748970,1318,1318,Otahuhu College Bus Bay,,Stop,-36.95396944,174.83975917,51541,School Bus
174.806191388810049,-36.898716110569488,1748971,1320,1320,Kalmia St for Ellerslie Primary,,Stop,-36.89871611,174.80619139,11606,School Bus
175.005516389404931,-36.784026110647055,1748972,1321,1321,Mako St by Wattle Rd,,Stop,-36.78402611,175.00551639,61100,School Bus
174.84788583335191,-36.937152499245812,1748973,1322,1322,Luke St for Otahuhu Intermediate,,Stop,-36.9371525,174.84788583,51622,School Bus
174.834298611440005,-36.874419721676496,1748974,1408,1408,56 Norman Lesser Dr,,Stop,-36.87441972,174.83429861,31380,School Bus
174.72429000019784,-36.884678888258541,1748975,1427,1427,73 Alberton Ave,,Stop,-36.88467889,174.72429,11292,School Bus
174.726419999575626,-36.881751943983978,1748976,1429,1429,27 Alberton Ave,,Stop,-36.88175194,174.72642,11291,School Bus
174.848039999651945,-36.939744443934501,1748977,1431,1431,59 Princes St,,Stop,-36.93974444,174.84804,51351,School Bus
174.747249999554725,-36.712228888335659,1748978,1439,1439,17 Valley Rd,,Stop,-36.71222889,174.74725,41543,School Bus
